title,price,original_price,image_path,category,sku
"Clarion GL-300 Android stereo with CarPlay &amp; Android Auto",10499,10499,"/images/products/clarion-gl-300-android-stereo-with-carplay-amp-android-auto.jpg","Car Stereos","SC-0050"
"Conpex 110W Trio Color Projector Fog Lights - Malibu Series 3 inches",8900,8900,"/images/products/conpex-110w-trio-color-projector-fog-lights-malibu-series-3-.jpg","Lighting","SC-0051"
"Cruleon 180Watts Triocolor Projector Foglights - 2 inches",8400,8400,"/images/products/cruleon-180watts-triocolor-projector-foglights-2-inches.jpg","Lighting","SC-0052"
"Cruleon 180Watts Triocolor Projector Foglights - 3 inches",8600,8600,"/images/products/cruleon-180watts-triocolor-projector-foglights-3-inches.jpg","Lighting","SC-0053"
"DB Drive 6.5 Inches Coaxial Speaker- (DB6) 120 Watt Peak Power",3999,3999,"/images/products/db-drive-6-5-inches-coaxial-speaker-db6-120-watt-peak-power.jpg","Car Speakers","SC-0054"
"DC Batman Bobblehead Fiber Car Perfume with Batman Keychain | Action Figure Bobblehead | OFFICIAL DC MERCHANDISE Limited Edition for Car Dashboard &amp; Office Desk",1025,1025,"/images/products/dc-batman-bobblehead-fiber-car-perfume-with-batman-keychain-.jpg","Car Amplifiers","SC-0055"
"DC Superman Bobblehead Fiber Car Perfume with Batman Keychain | Action Figure Bobblehead | OFFICIAL DC MERCHANDISE Limited Edition for Car Dashboard &amp; Office Desk",1025,1025,"/images/products/dc-superman-bobblehead-fiber-car-perfume-with-batman-keychai.jpg","Car Amplifiers","SC-0056"
"DD AUDIO RL-LA600.1 Redline Monoblock Amplifier With Bass Controller",11900,11900,"/images/products/dd-audio-rl-la600-1-redline-monoblock-amplifier-with-bass-co.jpg","Car Amplifiers","SC-0057"
"DHC F90 6000K Led Lights for Car Headlights / Foglights - 180 Watts led lights",5900,5900,"/images/products/dhc-f90-6000k-led-lights-for-car-headlights-foglights-180-wa.jpg","Lighting","SC-0058"
"DHC Pulse Max 5 Inch Projector Auxiliary Light 3 Lens Laser Projector",11500,11500,"/images/products/dhc-pulse-max-5-inch-projector-auxiliary-light-3-lens-laser-.jpg","Lighting","SC-0059"
"Ertiga 2022 Onwards Screen Activator Video In Motion",1100,1100,"/images/products/ertiga-2022-onwards-screen-activator-video-in-motion.jpg","Accessories","SC-0060"
"Ertiga Android Frame 9 Inches With Coupler",630,630,"/images/products/ertiga-android-frame-9-inches-with-coupler.jpg","Car Stereos","SC-0061"
"Ertiga Camera Activator - To turn on Aftermarket Camera in Orignal Stereo",950,950,"/images/products/ertiga-camera-activator-to-turn-on-aftermarket-camera-in-ori.jpg","Car Stereos","SC-0062"
"Ertiga Camera Activator - To turn on orignal camera in Android Stereo",850,850,"/images/products/ertiga-camera-activator-to-turn-on-orignal-camera-in-android.jpg","Car Stereos","SC-0063"
"Ertiga GTR Grill | Ertiga 2018 onwards GTR grill | Ertiga modified Grill",5900,5900,"/images/products/ertiga-gtr-grill-ertiga-2018-onwards-gtr-grill-ertiga-modifi.jpg","Exterior","SC-0064"
"Foglight wiring kit 12V/40A Relay | Copper wiring kit with switch",890,890,"/images/products/foglight-wiring-kit-12v-40a-relay-copper-wiring-kit-with-swi.jpg","Lighting","SC-0065"
"Ford Endeavour 2015 Onwards Rear Reflector Light With Matrix Function",2490,2490,"/images/products/ford-endeavour-2015-onwards-rear-reflector-light-with-matrix.jpg","Lighting","SC-0066"
"Fronx 9 inches Android Frame with Coupler (Gloss Black)",900,900,"/images/products/fronx-9-inches-android-frame-with-coupler-gloss-black.jpg","Car Stereos","SC-0067"
"Fronx auto folding mirrors / ORVM for base model With wiring and switch MSGA ORIGNAL",12900,12900,"/images/products/fronx-auto-folding-mirrors-orvm-for-base-model-with-wiring-a.jpg","Exterior","SC-0068"
"Fronx base model to top model conversion kit",18699,18699,"/images/products/fronx-base-model-to-top-model-conversion-kit.jpg","Car Accessories","SC-0069"
"Fronx Height adjustment seat",9199,9199,"/images/products/fronx-height-adjustment-seat.jpg","Interior","SC-0070"
"Fronx Maybach Grill 2023 onwards | Orignal Chrome 12 micron |Salt Tested",5200,5200,"/images/products/fronx-maybach-grill-2023-onwards-orignal-chrome-12-micron-sa.jpg","Exterior","SC-0071"
"Fronx Orignal MSGA armrest",4600,4600,"/images/products/fronx-orignal-msga-armrest.jpg","Interior","SC-0072"
"Fronx Screen Activator Video Interface",1100,1100,"/images/products/fronx-screen-activator-video-interface.jpg","Accessories","SC-0073"
"Fronx Top Model Steering - Leather Upholstery wrapped with all controls",6900,6900,"/images/products/fronx-top-model-steering-leather-upholstery-wrapped-with-all.jpg","Interior","SC-0074"
"Grand i10 android stereo - 4/64 GB With Android Frame",6800,6800,"/images/products/grand-i10-android-stereo-4-64-gb-with-android-frame.jpg","Car Stereos","SC-0075"
"Grand Vitara 9 inches Android Frame with Coupler (Gloss Black)",1400,1400,"/images/products/grand-vitara-9-inches-android-frame-with-coupler-gloss-black.jpg","Car Stereos","SC-0076"
"Grand Vitara Interior Ambient Lighting | Cardi K4 19 Pieces Kit",17000,17000,"/images/products/grand-vitara-interior-ambient-lighting-cardi-k4-19-pieces-ki.jpg","Lighting","SC-0077"
"Grand Vitara Reflector Lights - Smoke Glass",4100,4100,"/images/products/grand-vitara-reflector-lights-smoke-glass.jpg","Lighting","SC-0078"
"Grand Vitara Screen Activator Video In Motion",1100,1100,"/images/products/grand-vitara-screen-activator-video-in-motion.jpg","Accessories","SC-0079"
"Grand Vitara Steering with Audio &amp; Cruise Control Buttons Hub included",6500,6500,"/images/products/grand-vitara-steering-with-audio-amp-cruise-control-buttons-.jpg","Car Amplifiers","SC-0080"
"HERTZ Coaxial Speakers - Dieci Series-DCX 87.3",7499,7499,"/images/products/hertz-coaxial-speakers-dieci-series-dcx-87-3.jpg","Car Speakers","SC-0081"
"Hertz HCP4 (AMPLIFIER) Multi Class AB 4 Channel Car Amplifier",14990,14990,"/images/products/hertz-hcp4-amplifier-multi-class-ab-4-channel-car-amplifier.jpg","Car Amplifiers","SC-0082"
"HERTZ K 165 2 Way Component Car Speakers 300 Watts",6900,6900,"/images/products/hertz-k-165-2-way-component-car-speakers-300-watts.jpg","Car Speakers","SC-0083"
"HERTZ X 165 2 Way Coaxial Car Speakers 220 Watts",5500,5500,"/images/products/hertz-x-165-2-way-coaxial-car-speakers-220-watts.jpg","Car Speakers","SC-0084"
"Honda amaze 2016-18 9 inches Android Frame with Coupler (Gloss Black)",1200,1200,"/images/products/honda-amaze-2016-18-9-inches-android-frame-with-coupler-glos.jpg","Car Stereos","SC-0085"
"Honda Amaze 2018 Onwards 9 inches Android Frame with Coupler (Gloss Black)",1350,1350,"/images/products/honda-amaze-2018-onwards-9-inches-android-frame-with-coupler.jpg","Car Stereos","SC-0086"
"Honda Amaze android stereo - 4/64 GB With Android Frame",6800,6800,"/images/products/honda-amaze-android-stereo-4-64-gb-with-android-frame.jpg","Car Stereos","SC-0087"
"Honda Amaze Orignal Armrest 2018 Onwards",4200,4200,"/images/products/honda-amaze-orignal-armrest-2018-onwards.jpg","Interior","SC-0088"
"Honda Amaze Orignal Armrest 2025 Onwards",4200,4200,"/images/products/honda-amaze-orignal-armrest-2025-onwards.jpg","Interior","SC-0089"
"Honda Brio android stereo - 4/64 GB With Android Frame",6800,6800,"/images/products/honda-brio-android-stereo-4-64-gb-with-android-frame.jpg","Car Stereos","SC-0090"
"Honda Idtec 10 inches Android Frame with Coupler (Gloss Black)",1350,1350,"/images/products/honda-idtec-10-inches-android-frame-with-coupler-gloss-black.jpg","Car Stereos","SC-0091"
"Honda WRV 9 inches Android Frame with Coupler (Gloss Black)",1350,1350,"/images/products/honda-wrv-9-inches-android-frame-with-coupler-gloss-black.jpg","Car Stereos","SC-0092"
"Hyundai Alcazar Camera Activator - To turn on orignal camera in Android Stereo",1450,1450,"/images/products/hyundai-alcazar-camera-activator-to-turn-on-orignal-camera-i.jpg","Car Stereos","SC-0093"
"Hyundai Creta Camera Activator - To turn on orignal camera in Android Stereo",1450,1450,"/images/products/hyundai-creta-camera-activator-to-turn-on-orignal-camera-in-.jpg","Car Stereos","SC-0094"
"Hyundai i10 Grand Nios 2019-22 LED Reflector Lights",2130,2130,"/images/products/hyundai-i10-grand-nios-2019-22-led-reflector-lights.jpg","Lighting","SC-0095"
