Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KKR4HCR3A9ESRH8VM8R1X2YB,nakamichi-nam5240-9-android-car-stereo-2gb-ram-64gb-storage-wireless-apple-carplay-android-auto-zlink,"Nakamichi NAM5240 – 9"" Android Car Stereo | 2GB RAM + 64GB Storage | Wireless Apple CarPlay & Android Auto (Zlink)",published,https://nhone.in/cdn/shop/files/NAKAMICHI-NAM5240T-A9Z-Android-Reciever-232G-Zlink-ANDROID-HEADUNIT-NAKAMICHI_1000x_46e50f2c-7f02-489b-93a7-ffd742dace9a.jpg,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVKMMNXCTDRTX4M44F9
prod_01KKR4HCR3V3XA5EVNQ1Z09DFP,nippon-ndroid-9plus-4-64-gb-car-mediaplayer-with-qled-display-with-1280-720-screen-resolution-built-in-carplay-and-android-auto-via-t-link-android-v13-bt-v5-2-supports-wifi-2-4-5g,"Nippon NDROID 9PLUS 4/64 GB Car MediaPlayer with QLED Display with 1280 * 720 Screen Resolution, Built-in Carplay and Android Auto VIA T-Link, Android V13, BT v5.2, Supports WiFi 2.4&5G",published,https://nhone.in/cdn/shop/files/61jt11WYHKL._SL1500.jpg,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVK7XQZT7ZJSKARZ1SA
prod_01KKR4HCR3XEC7944Q9X9SZZZ2,yuemi-e1-multimedia-9-android-player-with-2gb-64gb-carplay-android-auto,"Yuemi E1 Multimedia 9"" Android Player with 2GB+64GB | CarPlay & Android Auto",published,https://nhone.in/cdn/shop/files/381220DC-926F-4AA6-B720-67A0CCAF6C40.webp,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVK724SZR1YWD72NGK6
prod_01KKR4HCR3Z6891GQ1NRJQ631G,diamond-2k-x80s-10-1-android-stereo-4gb-64gb-with-dual-knob-wireless-carplay-cooling-fan-universal-all-cars,"Diamond 2K X80s 10.1″ Android Stereo (4GB+64GB) with Dual Knob, Wireless CarPlay & Cooling Fan, Universal all Cars",published,https://nhone.in/cdn/shop/files/Diamond.6.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVKQ8HF04V8SQJQ83JS
prod_01KKR4HCR452VRD93JQ72TZMBR,mytvs-android-2gb-64gb-9-inch-player-with-t5l-processor-android-auto-carplay,myTVS Android 2GB/64GB-9-Inch-Player-With-T5L-Processor --Android-Auto-&-Carplay,published,https://nhone.in/cdn/shop/files/ca1962077f33a934.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVM698G018WSKTPDGZX
prod_01KKR4HCR46H5AERWHR1G260ND,nakamichi-nam5630-series-6-gb-ram-128-gb-storage-9-android-car-multimedia-player-wireless-carplay-android-auto-full-feature-infotainment,Nakamichi NAM5630 Series (6 GB RAM + 128 GB Storage) – 9″ Android Car Multimedia Player | Wireless CarPlay & Android Auto | Full-Feature Infotainment,published,https://nhone.in/cdn/shop/files/Untitleddesign_24.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVMPV5016R3GQAVEDJK
prod_01KKR4HCR48H67F9HRPHWDQYQS,blaupunkt-car-stereo-colombo-130bt-digital-media-receiver-1-din-4x50-watts-with-dual-usb-ports-music-charging-bluetooth-aux-in-fm-hands-free-calling-remote-control,"BLAUPUNKT Car Stereo Colombo-130BT Digital Media Receiver, 1 DIN, 4x50 watts with Dual USB Ports (Music & Charging), Bluetooth, AUX in, FM, Hands Free Calling & Remote Control",published,https://nhone.in/cdn/shop/files/Untitleddesign_5_5532208b-a4dd-4ed8-ada3-67a953ec1dd7.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVKPG0T650EDM4KXTS0
prod_01KKR4HCR4BJEZ15FQ8NE92NGH,sony-dsx-a410bt-single-din-digital-media-receiver-nfc-dual-bluetooth-usb-aux-fm-4-55-w-output-10-band-eq,"Sony DSX-A410BT – Single-DIN Digital Media Receiver | NFC, Dual-Bluetooth, USB, AUX & FM | 4×55 W Output | 10-Band EQ",published,https://nhone.in/cdn/shop/files/Untitleddesign_12_f1ef6cad-39e3-4628-a357-b88687c8f7ce.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVMFP6CWRTP7YXVDJPE
prod_01KKR4HCR4CZXY3X9BD9MTCGAW,diamond-2k-car-android-system-touch-screen-4gb-64gb-10-1-inch-4-core-wireless-carplay-adapter-android-auto-car-stereo-universal-all-cars,Diamond 2K Car Android System Touch Screen 4GB+64GB|10.1 Inch|4 Core|Wireless Carplay Adapter & Android Auto | Car Stereo |Universal All Cars,published,https://nhone.in/cdn/shop/files/51FxzV6EJ-L._SL1000.jpg,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVK95PASED57YFZHYNK
prod_01KKR4HCR4ETB0GQ2DK5STQM9G,blaupunkt-palm-bay-1000-2-gb-32-gb-ram-9-10-1-android-in-car-infotainment-with-wireless-carplay-android-auto,Blaupunkt Palm Bay 1000 — 2 GB/32 GB RAM | 9″ & 10.1″ Android In-Car Infotainment with Wireless CarPlay & Android Auto,published,https://nhone.in/cdn/shop/files/Untitled_design_10.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVM1QTD61WPHJG6TC94
prod_01KKR4HCR4FEWZ4ZX4K0A94R9R,mytvs-universal-single-din-mp3-media-player-for-all-cars-car-music-player-with-bluetooth-car-stereo-system-music-charging-aux-in-fm-hands-free-calling-remote-control,"myTVS Universal Single DIN MP3 Media Player for All Cars | Car Music Player with Bluetooth| Car Stereo System (Music & Charging), AUX in, FM, Hands Free Calling & Remote Control",published,https://nhone.in/cdn/shop/files/61rPEDg-SJL._SL1000.jpg,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVMXANHW1K1AQ47C5Y2
prod_01KKR4HCR4JQWFJ2MTAWZ80NG4,nippon-ndroid-9t-2-32-gb-car-mediaplayer-with-qled-display-with-1280-720-screen-resolution-built-in-wireless-carplay-and-android-auto-android-v13-bt-v5-2-supports-wifi-2-4-5g-ahd-rear-camera,"Nippon NDROID 9T 2/32 GB Car MediaPlayer with QLED Display with 1280 * 720 Screen Resolution, Built-in Wireless Carplay and Android Auto, Android V13, BT v5.2, Supports WiFi 2.4&5G, AHD Rear Camera",published,https://nhone.in/cdn/shop/files/61w4eoFOufL._SL1500.jpg,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVMXYXNEB4RY9W4K3CD
prod_01KKR4HCR4KT4Y8QTXKSN075F9,axxess-universal-android-9-inch-touchscreen-double-din-car-stereo-player-2gb-ram-16gb-rom-navigation-gps-wi-fi-bluetooth-full-hd-1080p,"Axxess Universal Android 9-Inch Touchscreen Double DIN Car Stereo Player | 2GB RAM + 16GB ROM | Navigation, GPS, Wi-Fi, Bluetooth, Full HD 1080P",published,https://nhone.in/cdn/shop/files/61iq4QbikoS._SL1500.jpg,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVMZPS092EDR4A7ZZJ6
prod_01KKR4HCR4N8F4CWX3HAZXY3ZR,pricol-xenos-9-inch-android-player-2gb-ram-64gb-storage-android-12-wireless-carplay-android-auto-ips-gorilla-glass-display,Pricol Xenos 9 Inch Android Player | 2GB RAM + 64GB Storage | Android 12 | Wireless CarPlay & Android Auto | IPS Gorilla Glass Display,published,https://nhone.in/cdn/shop/files/Untitleddesign_4_5e0bc9f9-bf46-40b2-b16b-f0d00d0877d2.png,sc_01KKQ6RZAQG80TTY3A9B1M913K,variant_01KKR4HCVMQT17YS8MBM9FE0XW
